,Car_Name,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,V_age,Price_increase
0,ritz,3.35,5.59,27000,Petrol,Dealer,Manual,0,10,2.2399999999999998
1,sx4,4.75,9.54,43000,Diesel,Dealer,Manual,0,11,4.789999999999999
2,ciaz,7.25,9.85,6900,Petrol,Dealer,Manual,0,7,2.5999999999999996
3,wagon r,2.85,4.15,5200,Petrol,Dealer,Manual,0,13,1.3000000000000003
4,swift,4.6,6.87,42450,Diesel,Dealer,Manual,0,10,2.2700000000000005
5,vitara brezza,9.25,9.83,2071,Diesel,Dealer,Manual,0,6,0.5800000000000001
6,ciaz,6.75,8.12,18796,Petrol,Dealer,Manual,0,9,1.3699999999999992
7,s cross,6.5,8.61,33429,Diesel,Dealer,Manual,0,9,2.1099999999999994
8,ciaz,8.75,8.89,20273,Diesel,Dealer,Manual,0,8,0.14000000000000057
9,ciaz,7.45,8.92,42367,Diesel,Dealer,Manual,0,9,1.4699999999999998
10,alto 800,2.85,3.6,2135,Petrol,Dealer,Manual,0,7,0.75
11,ciaz,6.85,10.38,51000,Diesel,Dealer,Manual,0,9,3.530000000000001
12,ciaz,7.5,9.94,15000,Petrol,Dealer,Automatic,0,9,2.4399999999999995
13,ertiga,6.1,7.71,26000,Petrol,Dealer,Manual,0,9,1.6100000000000003
14,dzire,2.25,7.21,77427,Petrol,Dealer,Manual,0,15,4.96
15,ertiga,7.75,10.79,43000,Diesel,Dealer,Manual,0,8,3.039999999999999
16,ertiga,7.25,10.79,41678,Diesel,Dealer,Manual,0,9,3.539999999999999
17,ertiga,7.75,10.79,43000,Diesel,Dealer,Manual,0,8,3.039999999999999
18,wagon r,3.25,5.09,35500,CNG,Dealer,Manual,0,9,1.8399999999999999
19,sx4,2.65,7.98,41442,Petrol,Dealer,Manual,0,14,5.33
20,alto k10,2.85,3.95,25000,Petrol,Dealer,Manual,0,8,1.1
21,ignis,4.9,5.71,2400,Petrol,Dealer,Manual,0,7,0.8099999999999996
22,sx4,4.4,8.01,50000,Petrol,Dealer,Automatic,0,13,3.6099999999999994
23,alto k10,2.5,3.46,45280,Petrol,Dealer,Manual,0,10,0.96
24,wagon r,2.9,4.41,56879,Petrol,Dealer,Manual,0,11,1.5100000000000002
25,swift,3.0,4.99,20000,Petrol,Dealer,Manual,0,13,1.9900000000000002
26,swift,4.15,5.87,55138,Petrol,Dealer,Manual,0,11,1.7199999999999998
27,swift,6.0,6.49,16200,Petrol,Individual,Manual,0,7,0.4900000000000002
28,alto k10,1.95,3.95,44542,Petrol,Dealer,Manual,0,14,2.0
29,ciaz,7.45,10.38,45000,Diesel,Dealer,Manual,0,9,2.9300000000000006
30,ritz,3.1,5.98,51439,Diesel,Dealer,Manual,0,12,2.8800000000000003
31,ritz,2.35,4.89,54200,Petrol,Dealer,Manual,0,13,2.5399999999999996
32,swift,4.95,7.49,39000,Diesel,Dealer,Manual,0,10,2.54
33,ertiga,6.0,9.95,45000,Diesel,Dealer,Manual,0,10,3.9499999999999993
34,dzire,5.5,8.06,45000,Diesel,Dealer,Manual,0,10,2.5600000000000005
35,sx4,2.95,7.74,49998,CNG,Dealer,Manual,0,13,4.79
36,dzire,4.65,7.2,48767,Petrol,Dealer,Manual,0,9,2.55
37,800,0.35,2.28,127000,Petrol,Individual,Manual,0,21,1.9299999999999997
38,alto k10,3.0,3.76,10079,Petrol,Dealer,Manual,0,8,0.7599999999999998
39,sx4,2.25,7.98,62000,Petrol,Dealer,Manual,0,21,5.73
40,baleno,5.85,7.87,24524,Petrol,Dealer,Automatic,0,8,2.0200000000000005
41,alto k10,2.55,3.98,46706,Petrol,Dealer,Manual,0,10,1.4300000000000002
42,sx4,1.95,7.15,58000,Petrol,Dealer,Manual,0,16,5.2
43,dzire,5.5,8.06,45780,Diesel,Dealer,Manual,0,10,2.5600000000000005
44,omni,1.25,2.69,50000,Petrol,Dealer,Manual,0,12,1.44
45,ciaz,7.5,12.04,15000,Petrol,Dealer,Automatic,0,10,4.539999999999999
46,ritz,2.65,4.89,64532,Petrol,Dealer,Manual,0,11,2.2399999999999998
47,wagon r,1.05,4.15,65000,Petrol,Dealer,Manual,0,18,3.1000000000000005
48,ertiga,5.8,7.71,25870,Petrol,Dealer,Manual,0,9,1.9100000000000001
49,ciaz,7.75,9.29,37000,Petrol,Dealer,Automatic,0,7,1.5399999999999991
50,fortuner,14.9,30.61,104707,Diesel,Dealer,Automatic,0,12,15.709999999999999
51,fortuner,23.0,30.61,40000,Diesel,Dealer,Automatic,0,9,7.609999999999999
52,innova,18.0,19.77,15000,Diesel,Dealer,Automatic,0,7,1.7699999999999996
53,fortuner,16.0,30.61,135000,Diesel,Individual,Automatic,0,11,14.61
54,innova,2.75,10.21,90000,Petrol,Individual,Manual,0,19,7.460000000000001
55,corolla altis,3.6,15.04,70000,Petrol,Dealer,Automatic,0,15,11.44
56,etios cross,4.5,7.27,40534,Petrol,Dealer,Manual,0,9,2.7699999999999996
57,corolla altis,4.75,18.54,50000,Petrol,Dealer,Manual,0,14,13.79
58,etios g,4.1,6.8,39485,Petrol,Dealer,Manual,1,10,2.7
59,fortuner,19.99,35.96,41000,Diesel,Dealer,Automatic,0,10,15.970000000000002
60,corolla altis,6.95,18.61,40001,Petrol,Dealer,Manual,0,11,11.66
61,etios cross,4.5,7.7,40588,Petrol,Dealer,Manual,0,9,3.2
62,fortuner,18.75,35.96,78000,Diesel,Dealer,Automatic,0,10,17.21
63,fortuner,23.5,35.96,47000,Diesel,Dealer,Automatic,0,9,12.46
64,fortuner,33.0,36.23,6000,Diesel,Dealer,Automatic,0,7,3.229999999999997
65,etios liva,4.75,6.95,45000,Diesel,Dealer,Manual,0,10,2.2
66,innova,19.75,23.15,11000,Petrol,Dealer,Automatic,0,7,3.3999999999999986
67,fortuner,9.25,20.45,59000,Diesel,Dealer,Manual,0,14,11.2
68,corolla altis,4.35,13.74,88000,Petrol,Dealer,Manual,0,13,9.39
69,corolla altis,14.25,20.91,12000,Petrol,Dealer,Manual,0,8,6.66
70,etios liva,3.95,6.76,71000,Diesel,Dealer,Manual,0,10,2.8099999999999996
